tiltle;Teilemarke,  Teilenummer;Unnamed: 2;Unnamed: 3;Preis;Unnamed: 5;interne Artikelnummer;Unnamed: 7;Unnamed: 8;Unnamed: 9;Zustand;Pfand;Unnamed: 12;Versandklasse ;Unnamed: 14;Unnamed: 15;Lieferzeit
;Airstal, 10-0148;;;313,82;;10-0148;;;;3.0;0;;1;;;3
;Airstal, 10-0149;;;331,26;;10-0149;;;;29.0;0;;1;;;3
;Airstal, 10-0150;;;361,76;;10-0150;;;;3.0;0;;1;;;3
;Airstal, 10-0151;;;281,13;;10-0151;;;;4.0;0;;1;;;3
;Airstal, 10-0152;;;268,05;;10-0152;;;;48.0;0;;1;;;3
;Airstal, 10-0153;;;287,67;;10-0153;;;;37.0;0;;1;;;3
;Airstal, 10-0154;;;281,13;;10-0154;;;;24.0;0;;1;;;3
;Airstal, 10-0156;;;292,03;;10-0156;;;;25.0;0;;1;;;3
;Airstal, 10-0157;;;278,95;;10-0157;;;;20.0;0;;1;;;3
;Airstal, 10-0158;;;268,05;;10-0158;;;;4.0;0;;1;;;3
;Airstal, 10-0159;;;246,26;;10-0159;;;;1.0;0;;1;;;3
;Airstal, 10-0160;;;353,05;;10-0160;;;;1.0;0;;1;;;3
;Airstal, 10-0162;;;337,79;;10-0162;;;;1.0;0;;1;;;3
;Airstal, 10-0163;;;283,31;;10-0163;;;;8.0;0;;1;;;3
;Airstal, 10-0164;;;274,59;;10-0164;;;;2.0;0;;1;;;3
;Airstal, 10-0165;;;252,8;;10-0165;;;;3.0;0;;1;;;3
;Airstal, 10-0166;;;316;;10-0166;;;;3.0;0;;1;;;3
;Airstal, 10-0168;;;368,31;;10-0168;;;;3.0;0;;1;;;3
;Airstal, 10-0172;;;335,62;;10-0172;;;;1.0;0;;1;;;3
;Airstal, 10-0173;;;331,26;;10-0173;;;;8.0;0;;1;;;3
;Airstal, 10-0174;;;359,58;;10-0174;;;;1.0;0;;1;;;3
;Airstal, 10-0176;;;294,21;;10-0176;;;;1.0;0;;1;;;3
;Airstal, 10-0177;;;261,52;;10-0177;;;;28.0;0;;1;;;3
;Airstal, 10-0178;;;283,31;;10-0178;;;;1.0;0;;1;;;3
;Airstal, 10-0179;;;265,88;;10-0179;;;;5.0;0;;1;;;3
;Airstal, 10-0180;;;287,67;;10-0180;;;;6.0;0;;1;;;3
;Airstal, 10-0181;;;268,05;;10-0181;;;;17.0;0;;1;;;3
;Airstal, 10-0182;;;285,48;;10-0182;;;;3.0;0;;1;;;3
;Airstal, 10-0183;;;283,31;;10-0183;;;;6.0;0;;1;;;3
;Airstal, 10-0184;;;296,38;;10-0184;;;;1.0;0;;1;;;3
;Airstal, 10-0185;;;289,85;;10-0185;;;;18.0;0;;1;;;3
;Airstal, 10-0186;;;305,1;;10-0186;;;;4.0;0;;1;;;3
;Airstal, 10-0187;;;265,88;;10-0187;;;;4.0;0;;1;;;3
;Airstal, 10-0188;;;265,88;;10-0188;;;;17.0;0;;1;;;3
;Airstal, 10-0189;;;272,41;;10-0189;;;;1.0;0;;1;;;3
;Airstal, 10-0190;;;318,17;;10-0190;;;;2.0;0;;1;;;3
;Airstal, 10-0191;;;283,31;;10-0191;;;;19.0;0;;1;;;3
;Airstal, 10-0196;;;296,38;;10-0196;;;;1.0;0;;1;;;3
;Airstal, 10-0197;;;307,28;;10-0197;;;;1.0;0;;1;;;3
;Airstal, 10-0198;;;300,74;;10-0198;;;;12.0;0;;1;;;3
;Airstal, 10-0199;;;272,41;;10-0199;;;;6.0;0;;1;;;3
