ID_Product,Quantity,Quantity_Fourniss_After_Cumule,available
G00424B,1,1,1
G00427A,1,1,1
G00428C,1,1,1
G00429C,1,1,1
G00430C,1,1,1
G00431C,1,1,1
G00432C,0,0,0
G00433C,1,1,1
G00434A,1,1,1
G00434C,1,1,1
G00435A,1,1,1
G00435C,1,1,1
G00436G,1,1,1
G00437G,1,1,1
G00440C,1,1,1
G00443A,1,1,1
G00443C,0,0,0
G00445C,1,1,1
G00446C,1,1,1
G00448C,1,1,1
G00449A,1,1,1
G00449C,1,1,1
G00451C,1,1,1
G00452C,1,1,1
G00454A,1,1,1
G00455C,1,1,1
G00456C,1,1,1
G00457C,1,1,1
G00457V,1,1,1
G00458V,1,1,1
G00459B,1,1,1
G00459C,1,1,1
G00460B,1,1,1
G00461B,1,1,1
G00461C,1,1,1
G00463B,1,1,1
G00463C,1,1,1
G00464B,1,1,1
G00465B,1,1,1
G00465C,1,1,1
G00466C,1,1,1
G00467C,1,1,1
G00467P,1,1,1
G00468C,1,1,1
G00468P,1,1,1
G00469C,1,1,1
G00469P,1,1,1
G00470C,1,1,1
G00470P,1,1,1
G00471C,1,1,1
G00471P,1,1,1
G00474P,1,1,1
G00475C,1,1,1
G00476C,1,1,1
G00476P,1,1,1
G00477P,1,1,1
G00478P,1,1,1
G00481P,1,1,1
G00482C,0,0,0
G00483P,1,1,1
G00484C,0,0,0
G00484H,1,1,1
G00486C,1,1,1
G00487C,1,1,1
G00491B,1,1,1
G00492B,1,1,1
G00493B,0,0,0
G00494P,1,1,1
G00495P,1,1,1
G00496W,0,0,0
G00499H,1,1,1
G00500B,1,1,1
G00501B,1,1,1
G00502B,1,1,1
G00502C,1,1,1
G00503B,1,1,1
G00504C,1,1,1
G00504P,1,1,1
G00506C,1,1,1
G00508B,1,1,1
G00509C,1,1,1
G00512A,1,1,1
G00513G,1,1,1
G00514G,1,1,1
G00516C,1,1,1
G00517G,1,1,1
G00519C,1,1,1
G00520H,1,1,1
G00521A,1,1,1
G00521C,1,1,1
G00524G,1,1,1
G00525C,0,0,0
G00526B,1,1,1
G00527C,1,1,1
G00530A,1,1,1
G00531A,1,1,1
G00531C,1,1,1
G00533C,1,1,1
G00534C,1,1,1
G00537C,1,1,1
G00538C,1,1,1
G00541C,1,1,1
G00542C,1,1,1
G00542H,1,1,1
G00545P,1,1,1
G00546C,1,1,1
G00546P,1,1,1
G00547B,1,1,1
G00547C,1,1,1
G00548B,1,1,1
G00548C,1,1,1
G00549B,1,1,1
G00549C,1,1,1
G00550C,1,1,1
G00551V,1,1,1
G00552B,1,1,1
G00554P,1,1,1
G00555P,1,1,1
G00556A,0,0,0
G00559C,1,1,1
G00560C,0,0,0
G00560V,0,0,0
G00561C,1,1,1
G00562V,1,1,1
G00563A,1,1,1
G00568G,1,1,1
G00569C,1,1,1
G00571G,1,1,1
G00577C,1,1,1
G00580C,1,1,1
G00581C,1,1,1
G00582G,1,1,1
G00583C,1,1,1
G00583G,1,1,1
G00586C,1,1,1
G00588C,0,0,0
G00589C,1,1,1
G00590C,1,1,1
