ID_Product,Quantity,Quantity_Fourniss_After_Cumule
05P1992,0,0
05P1993,0,0
05P1996,2,2
05P1997K,0,0
05P2003,1,1
05P2005,5,5
05P201,0,0
05P2012,0,0
05P2019,0,0
05P202,0,0
05P2022,2,2
05P2025,35,35
05P2029,0,0
05P2030,10,10
05P2031,6,6
05P2033,1,1
05P2034,14,14
05P2036,1,1
05P2038,0,0
05P2039,0,0
05P2045,4,4
05P2049,0,0
05P2049K,0,0
05P2050,0,0
05P2050K,0,0
05P2056,0,0
05P206,2,2
05P2066,2,2
05P2067,0,0
05P2076,0,0
05P2080,0,0
05P2083,4,4
05P2084,0,0
05P2093,0,0
05P2095,0,0
05P2096,0,0
05P210,1,1
05P2103,0,0
05P2104,0,0
05P2107,0,0
05P2107K,0,0
05P211,0,0
05P2114,0,0
05P2115K,0,0
05P2121,0,0
05P2122,1,1
05P2138,0,0
05P2140,0,0
05P2144,2,2
05P2146,1,1
05P2154,0,0
05P216,2,2
05P217,5,5
05P2175,30,30
05P2187,14,14
05P221,1,1
05P2221,2,2
05P223,0,0
05P224,5,5
05P225,1,1
05P228,2,2
05P230,4,4
05P231,16,16
05P2314,5,5
05P232,2,2
05P2328,20,20
05P233,0,0
05P234,0,0
05P237,2,2
05P238,4,4
05P258,1,1
05P260,2,2
05P264,0,0
05P268,0,0
05P269,0,0
05P271,9,9
05P274,11,11
05P276,0,0
05P277,0,0
05P278,2,2
05P279,2,2
05P280,2,2
05P281,0,0
05P282,2,2
05P283,13,13
05P286,1,1
05P288,2,2
05P289,1,1
05P290,0,0
05P293,9,9
05P294,23,23
05P295,4,4
05P296,2,2
05P297,0,0
05P298,5,5
05P299,4,4
05P300,2,2
05P302,1,1
05P304,0,0
05P306,0,0
05P307,22,22
05P310,2,2
05P314,0,0
05P315,0,0
05P318,2,2
05P319,2,2
05P322,1,1
05P324,2,2
05P325,0,0
05P327,0,0
05P328,1,1
05P331,5,5
05P332,0,0
05P333,0,0
05P334,2,2
05P335,0,0
05P336,0,0
05P339,0,0
05P342,0,0
05P343,1,1
05P345,4,4
05P346,13,13
05P347,1,1
05P348,0,0
05P349,189,189
05P350,0,0
05P352,4,4
05P354,1,1
05P355,0,0
05P362,0,0
05P366,5,5
05P367,1,1
05P372,1,1
05P376,3,3
05P378,3,3
05P383,3,3
05P384,13,13
05P387,0,0
05P388,0,0
05P391,0,0
05P396,3,3
05P405,1,1
05P406,3,3
05P408,3,3
05P409,4,4
05P414,0,0
05P415,4,4
05P417,2,2
05P418,2,2
05P420,0,0
05P422,4,4
05P425,0,0
05P427,0,0
05P428,2,2
05P429,1,1
05P430,3,3
05P431,0,0
05P433,0,0
05P435,8,8
05P436,6,6
05P437,2,2
05P439,0,0
05P440,2,2
05P444,5,5
05P445,6,6
05P449,2,2
05P450,5,5
05P452,3,3
05P453,1,1
05P457,0,0
05P459,5,5
05P461,4,4
05P462,3,3
05P463,61,61
05P464,1,1
05P465,2,2
05P469,1,1
05P470,0,0
05P471,0,0
05P472,2,2
05P477,4,4
05P478,0,0
05P480,2,2
05P481,3,3
05P482,0,0
05P483,0,0
05P484,5,5
05P485,0,0
05P486,2,2
05P487,0,0
05P492,0,0
05P492A,0,0
05P493,10,10
05P494,6,6
05P495,1,1
05P496,0,0
05P497,3,3
05P498,11,11
05P499,0,0
05P506,0,0
05P508,3,3
05P510,1,1
05P512,3,3
05P515,0,0
