platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Primeturbo,stock_Storm,stock_eminia trading
Departo-Germany,100267,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100268,1,60,59,20250812_135901,0,0,60,0,0,0,0,0
Departo-Germany,100269,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100276,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100280,1,2,1,20250812_135901,0,0,1,0,0,0,1,0
Departo-Germany,100282,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100284,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100285,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100288,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100290,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100293,1,18,17,20250812_135901,0,0,18,0,0,0,0,0
Departo-Germany,100295,1,21,20,20250812_135901,0,0,21,0,0,0,0,0
Departo-Germany,100297,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100299,1,6,5,20250812_135901,0,0,0,0,0,0,6,0
Departo-Germany,100306,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100312,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100313,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100318,1,63,62,20250812_135901,0,0,63,0,0,0,0,0
Departo-Germany,100319,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100321,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100327,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100328,1,11,10,20250812_135901,0,0,11,0,0,0,0,0
Departo-Germany,100329,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-Germany,100332,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100334,1,13,12,20250812_135901,0,0,13,0,0,0,0,0
Departo-Germany,100340,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100346,1,8,7,20250812_135901,0,0,8,0,0,0,0,0
Departo-Germany,100347,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100349,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100355,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100364,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100367,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100368,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100370,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100371,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100373,1,4,3,20250812_135901,0,0,1,0,0,0,3,0
Departo-Germany,100375,1,16,15,20250812_135901,0,0,16,0,0,0,0,0
Departo-Germany,100383,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100385,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100388,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100390,1,44,43,20250812_135901,0,0,44,0,0,0,0,0
Departo-Germany,100392,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100393,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100396,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100397,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100398,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100400,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100402,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100403,1,170,169,20250812_135901,0,0,170,0,0,0,0,0
Departo-Germany,100404,1,120,119,20250812_135901,0,0,120,0,0,0,0,0
Departo-Germany,100408,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100411,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100412,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100413,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100416,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100423,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100424,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100433,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100440,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100441,1,17,16,20250812_135901,0,0,17,0,0,0,0,0
Departo-Germany,100442,1,18,17,20250812_135901,0,0,18,0,0,0,0,0
Departo-Germany,100451,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100452,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100454,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100456,1,14,13,20250812_135901,0,0,14,0,0,0,0,0
Departo-Germany,100463,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100473,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100474,1,23,22,20250812_135901,0,0,23,0,0,0,0,0
Departo-Germany,100476,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100477,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100478,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100479,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100484,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100486,1,7,6,20250812_135901,0,0,7,0,0,0,0,0
Departo-Germany,100490,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100491,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100493,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100496,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100497,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100498,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100503,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100510,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100519,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100520,1,28,27,20250812_135901,0,0,28,0,0,0,0,0
Departo-Germany,100527,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100528,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100530,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100531,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100534,1,21,20,20250812_135901,0,0,21,0,0,0,0,0
Departo-Germany,100539,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100540,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100542,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100544,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100548,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100550,1,9,8,20250812_135901,0,0,9,0,0,0,0,0
Departo-Germany,100551,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100554,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100557,1,108,107,20250812_135901,0,0,108,0,0,0,0,0
Departo-Germany,100564,1,12,11,20250812_135901,0,0,12,0,0,0,0,0
Departo-Germany,100566,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
Departo-Germany,100567,1,94,93,20250812_135901,0,0,94,0,0,0,0,0
Departo-Germany,100572,1,16,15,20250812_135901,0,0,16,0,0,0,0,0
Departo-Germany,100574,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100579,1,14,13,20250812_135901,0,0,14,0,0,0,0,0
Departo-Germany,100581,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100588,1,15,14,20250812_135901,0,0,15,0,0,0,0,0
Departo-Germany,100589,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100590,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100592,1,3,2,20250812_135901,0,0,3,0,0,0,0,0
Departo-Germany,100593,1,33,32,20250812_135901,0,0,33,0,0,0,0,0
Departo-Germany,100594,1,19,18,20250812_135901,0,0,19,0,0,0,0,0
Departo-Germany,100596,1,4,3,20250812_135901,0,0,4,0,0,0,0,0
Departo-Germany,100597,1,24,23,20250812_135901,0,0,24,0,0,0,0,0
Departo-Germany,100599,1,2,1,20250812_135901,0,0,2,0,0,0,0,0
Departo-Germany,100603,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100606,1,15,14,20250812_135901,0,0,15,0,0,0,0,0
Departo-Germany,100607,1,36,35,20250812_135901,0,0,36,0,0,0,0,0
Departo-Germany,100608,1,6,5,20250812_135901,0,0,6,0,0,0,0,0
Departo-Germany,100609,1,5,4,20250812_135901,0,0,5,0,0,0,0,0
