platform,product_id,old_quantity,new_quantity,difference,run_timestamp,stock_AS-PL,stock_Abakus,stock_Airstal,stock_JPGROUP,stock_NTY,stock_Storm,stock_eminia trading
Alzura,101088,11,10,-1,20250811_165946,0,0,10,0,0,0,0
Alzura,101111,41,42,1,20250811_165946,0,0,42,0,0,0,0
Alzura,101117,7,8,1,20250811_165946,0,0,8,0,0,0,0
Alzura,101117,7,8,1,20250811_165946,0,0,8,0,0,0,0
Alzura,101120,41,42,1,20250811_165946,0,0,42,0,0,0,0
Alzura,101122,80,78,-2,20250811_165946,0,0,78,0,0,0,0
Alzura,101187,20,26,6,20250811_165946,0,0,26,0,0,0,0
Alzura,101202,20,21,1,20250811_165946,0,0,21,0,0,0,0
Alzura,101222,4,2,-2,20250811_165946,0,0,2,0,0,0,0
Alzura,101275,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,101391,8,7,-1,20250811_165946,0,0,7,0,0,0,0
Alzura,101399,34,33,-1,20250811_165946,0,0,33,0,0,0,0
Alzura,101403,1,2,1,20250811_165946,0,0,2,0,0,0,0
Alzura,101405,3,4,1,20250811_165946,0,0,4,0,0,0,0
Alzura,101406,7,6,-1,20250811_165946,0,0,6,0,0,0,0
Alzura,101466,5,6,1,20250811_165946,0,0,6,0,0,0,0
Alzura,101527,3,1,-2,20250811_165946,0,0,1,0,0,0,0
Alzura,101542,3,4,1,20250811_165946,0,0,4,0,0,0,0
Alzura,101579,55,51,-4,20250811_165946,0,0,51,0,0,0,0
Alzura,101589,50,49,-1,20250811_165946,0,0,49,0,0,0,0
Alzura,101717,2,1,-1,20250811_165946,0,0,1,0,0,0,0
Alzura,101726,11,10,-1,20250811_165946,0,0,10,0,0,0,0
Alzura,101746,9,2,-7,20250811_165946,0,0,2,0,0,0,0
Alzura,101808,52,49,-3,20250811_165946,0,0,49,0,0,0,0
Alzura,101814,15,13,-2,20250811_165946,0,0,13,0,0,0,0
Alzura,101817,37,34,-3,20250811_165946,0,0,34,0,0,0,0
Alzura,101844,9,12,3,20250811_165946,0,0,12,0,0,0,0
